@@astelknight
2,腐臭治癒術,腐臭(ふしゅう)状態から回復しやすくなる。,
3,亀甲の構え,防御、防御陣にて、連続して防御、防御陣を行ったターン数×5%の防御補正。,
4,斬撃耐性強化術,斬撃(ざんげき)属性の攻撃に対する耐性を強化。,
5,フィジカル自慢,CON(体幹力)のステータスを強化。主に防御力に影響。,
6,メガバッシュ,戦術甲装備の場合のみ防御、防御陣中に攻撃を受けると次ターンは与スタン値がアップ。,
7,戦術甲術師範,戦術甲(せんじゅつこう)のウェポンマスタリーを強化。,
8,腐臭耐性強化術,腐臭(ふしゅう)属性の攻撃に対する耐性を強化。,
9,鉄壁,ガード率が10%アップする。敵の攻撃をガードしやすくなる。,
10,大鉄壁,HPが100%の場合に発動。ガード率が20%アップする。,
11,ヘビースマッシャー,武器が鈍槌の場合に限り、与スタン値が25アップ。ただし、行動速度小ダウン。,
@@madraptor
0,アヴォイダンス,回避する度に攻撃力が50%アップ。最大で+500%で攻撃を受けるまで継続。,固有
1,百花ノ狙撃手,百花弓装備の場合のみ、行動速度が75%アップ。命中力が25%アップ。,固有
2,錯乱治癒術,錯乱(さくらん)状態から回復しやすくなる。,
3,ステルス,戦闘中にてターン数が多いほど、敵からターゲットになる確率がダウンしていく。,
4,泥撃耐性強化術,泥撃(でいげき)属性の攻撃に対する耐性を強化。,
5,スピード自慢,AGI(素早さ)のステータスを強化。主に回避率、行動順番に影響。,
6,狙いすまし,防御、防御陣の次ターン、与クリティカル値が100、命中力が100%アップ。,
7,百花弓術師範,百花弓(ひゃっかきゅう)のウェポンマスタリーを強化。,
8,錯乱耐性強化術,錯乱(さくらん)属性の攻撃に対する耐性を強化。,
9,速攻術,行動速度が中アップする。行動が早く回って来るようになる。,
10,薄氷の見切り,回避する度に与クリティカル値が5アップする。最大25で攻撃を受けるまで継続。,
11,百花の乱れ矢,百花弓で攻撃した場合のみ3%で発動、敵グループに対して10回攻撃を行う。,
@@gothiccopperia
0,黒切斬,クリティカルの際、クリティカル・ゴアになる確率がアップ。,固有
1,ぶん回しの剛腕,マスタリーがS+の武器だとクリティカルダメージが増大。ただし友好度変化が反転。,固有
2,全治癒術,全ての状態異常から回復しやすくなる。,
3,誘惑の魔眼,攻撃ヒット時に、50%の確率で幻覚の状態異常を発動。,
4,気功術,攻撃をした際、一時的に攻撃力が25%アップする。,
5,足払い,与スタンの値が10アップ。敵をスタンさせやすくなる。,
6,因果,攻撃時、因果数によりクリティカルが発生。ただし、攻撃を受ける際も同様の判定。,
7,鈍槌術師範,鈍槌(どんつい)のウェポンマスタリーを強化。,
8,フンバリ,スタン耐性の値が20アップ。敵から攻撃を受けた際にスタンしにくくなる。,
9,硬化術,攻撃を受けた際に一時的に防御力が25%アップする。,
10,力タメ,防御もしくは防御陣の次ターンのみ、攻撃力が25%、与スタン値が25アップ。,
11,背徳の罪,HPが30%以下の場合に発動。攻撃ヒット時、カルマ威力の錯乱の効果が付与。,
@@demonreaper
0,星嵐舞踏,星嵐鎌装備の場合のみ12%で発動。敵グループに対して4回攻撃を行う。,固有
1,ウィッカーマン,ゴアによって"ロストした部位数+1倍"だけ、攻撃力がアップする。,固有
2,精神統一,命中力が20%アップする。敵に攻撃が命中しやすくなる。,
3,悪ノ華,戦闘中のみ、レキテイのカルマの値を自身の運命力とする。,
4,受け流し,攻撃を受けた際に、敵の攻撃力を25%カットすることでダメージを軽減する。,
5,雄心勃勃たる構え,与クリティカルの値が50アップする。敵に対してクリティカルが発生しやすくなる。,
6,ドラキュリア,クリティカル発生時のみ、与えたダメージの10%だけ自身の体力を回復。,
7,星嵐鎌術師範,星嵐鎌(星嵐鎌)のウェポンマスタリーを強化。,
8,見切り,回避力が20%アップする。敵の攻撃を回避しやすくなる。,
9,瞬速,HPが100%の場合に発動。行動速度が大アップする。,
10,ゾーン,HPが100%の場合に発動。命中率が50%アップする。,
11,卑見の見切り,HPが5%以下の場合に発動。回避力が75%アップ。命中率は75%ダウン。,
