#防具名,部位(頭から順に0～4),スキル1名,スキル1値,スキル2名,スキル2値,lv1スロット数,lv2スロット数,lv3スロット数,火耐性,水耐性,雷耐性,氷耐性,龍耐性
ボーンアームα,2,ko,1,kougeki,1,0,0,0,2,0,2,0,2
ボーンコイルα,3,hue,1,turi,1,0,0,0,2,0,2,0,2
ボーングリーヴα,4,kontyuu,2,,,0,0,0,2,0,2,0,2
ボーンヘルムβ,0,tairyokuzoukyou,1,,,1,0,0,2,0,2,0,2
ボーンメイルβ,1,kougeki,1,,,1,0,0,2,0,2,0,2
ボーンアームβ,2,ko,1,,,1,0,0,2,0,2,0,2
ボーンコイルβ,3,hue,1,,,1,0,0,2,0,2,0,2
ボーングリーヴβ,4,kontyuu,1,,,1,0,0,2,0,2,0,2
アロイヘルムα,0,huuatu,1,bougyo,1,0,0,0,-2,0,-2,-2,0
アロイメイルα,1,mizutaisei,2,,,0,0,0,-2,0,-2,-2,0
アロイアームα,2,bougyo,1,toisi,1,0,0,0,-2,0,-2,-2,0
アロイコイルα,3,dokutaisei,1,mizutaisei,1,0,0,0,-2,0,-2,-2,0
アロイグリーヴα,4,toisi,2,,,0,0,0,-2,0,-2,-2,0
アロイヘルムβ,0,huuatu,1,,,1,0,0,-2,0,-2,-2,0
アロイメイルβ,1,mizutaisei,1,,,1,0,0,-2,0,-2,-2,0
アロイアームβ,2,bougyo,1,,,1,0,0,-2,0,-2,-2,0
アロイコイルβ,3,dokutaisei,1,,,1,0,0,-2,0,-2,-2,0
アロイグリーヴβ,4,toisi,1,,,1,0,0,-2,0,-2,-2,0
オウビートテスタα,0,kaihiseinou,2,syokuseigaku,1,0,0,0,-1,-1,2,0,2
オウビートペットα,1,noutou,2,syokuseigaku,1,0,0,0,-1,-1,2,0,2
オウビートマーノα,2,syokuseigaku,2,tobikomi,1,1,0,0,-1,-1,2,0,2
オウビートアンカα,3,hani-,1,noutou,1,1,0,0,-1,-1,2,0,2
オウビートガンバα,4,tansakusya,1,kaihiseinou,1,1,0,0,-1,-1,2,0,2
オウビートテスタβ,0,kaihiseinou,2,,,1,0,0,-1,-1,2,0,2
オウビートペットβ,1,noutou,2,,,1,0,0,-1,-1,2,0,2
オウビートマーノβ,2,syokuseigaku,2,,,1,1,0,-1,-1,2,0,2
オウビートアンカβ,3,hani-,1,,,1,1,0,-1,-1,2,0,2
オウビートガンバβ,4,tansakusya,1,,,1,1,0,-1,-1,2,0,2
パピメルテスタα,0,kaihiseinou,2,syokuseigaku,1,0,0,0,-1,-1,2,0,2
パピメルペットα,1,noutou,2,syokuseigaku,1,0,0,0,-1,-1,2,0,2
パピメルマーノα,2,syokuseigaku,2,tobikomi,1,1,0,0,-1,-1,2,0,2
パピメルアンカα,3,hani-,1,noutou,1,1,0,0,-1,-1,2,0,2
パピメルガンバα,4,tansakusya,1,kaihiseinou,1,1,0,0,-1,-1,2,0,2
パピメルテスタβ,0,kaihiseinou,2,,,1,0,0,-1,-1,2,0,2
パピメルペットβ,1,noutou,2,,,1,0,0,-1,-1,2,0,2
パピメルマーノβ,2,syokuseigaku,2,,,1,1,0,-1,-1,2,0,2
パピメルアンカβ,3,hani-,1,,,1,1,0,-1,-1,2,0,2
パピメルガンバβ,4,tansakusya,1,,,1,1,0,-1,-1,2,0,2
ランゴヘルムα,0,noutou,1,mahikyouka,1,0,0,0,-2,1,1,1,2
ランゴメイルα,1,huuatu,2,,,0,0,0,-2,1,1,1,2
ランゴアームα,2,mahikyouka,2,,,0,0,0,-2,1,1,1,2
ランゴコイルα,3,mahitaisei,2,,,0,0,0,-2,1,1,1,2
ランゴグリーヴα,4,hani-,1,mahitaisei,1,0,0,0,-2,1,1,1,2
ランゴヘルムβ,0,noutou,1,,,1,0,0,-2,1,1,1,2
ランゴメイルβ,1,huuatu,1,,,1,0,0,-2,1,1,1,2
ランゴアームβ,2,mahikyouka,1,,,1,0,0,-2,1,1,1,2
ランゴコイルβ,3,mahitaisei,1,,,1,0,0,-2,1,1,1,2
ランゴグリーヴβ,4,hani-,1,,,1,0,0,-2,1,1,1,2
タロスヘルムα,0,koyasi,1,ryuukyouka,1,0,0,0,-1,-1,0,0,2
タロスメイルα,1,syoukikannkyoutekiou,1,haraheri,1,0,0,0,-1,-1,0,0,2
タロスアームα,2,manzokukan,1,haraheri,1,0,0,0,-1,-1,0,0,2
タロスコイルα,3,hagitoritetujin,1,haraheri,1,0,0,0,-1,-1,0,0,2
タロスグリーヴα,4,takumi,1,ryuukyouka,1,0,0,0,-1,-1,0,0,2
タロスヘルムβ,0,koyasi,1,,,1,0,0,-1,-1,0,0,2
タロスメイルβ,1,syoukikannkyoutekiou,1,,,1,0,0,-1,-1,0,0,2
タロスアームβ,2,manzokukan,1,,,1,0,0,-1,-1,0,0,2
タロスコイルβ,3,hagitoritetujin,1,,,1,0,0,-1,-1,0,0,2
タロスグリーヴβ,4,takumi,1,,,1,0,0,-1,-1,0,0,2
モスフェイクα,0,kinoko,2,,,0,0,0,2,2,2,2,2
ケストガードα,0,kassou,1,syuutyuu,1,0,0,0,4,0,0,0,0
ケストガードβ,0,kassou,1,,,1,0,0,4,0,0,0,0
ガライーブーツα,0,mizubatekiou,2,mizukyouka,1,0,0,0,0,5,0,0,0
ガライーブーツβ,0,mizubatekiou,1,mizukyouka,1,1,0,0,0,5,0,0,0
シャムゴーグルα,0,kanti,1,tisitugaku,1,0,0,0,2,2,0,-3,0
シャムゴーグルβ,0,kanti,1,,,1,0,0,2,2,0,-3,0
ジャグラスヘルムα,0,hayagui,2,,,0,0,0,-2,2,-1,-1,1
ジャグラスメイルα,1,ikaku,2,,,0,0,0,-2,2,-1,-1,1
ジャグラスアームα,2,otomosaihai,1,ikaku,1,0,0,0,-2,2,-1,-1,1
ジャグラスコイルα,3,hukutu,1,hayagui,1,0,0,0,-2,2,-1,-1,1
ジャグラスグリーブα,4,syafami,1,manzokukan,1,0,0,0,-2,2,-1,-1,1
ジャグラスヘルムβ,0,hayagui,1,,,1,0,0,-2,2,-1,-1,1
ジャグラスメイルβ,1,ikaku,1,,,1,0,0,-2,2,-1,-1,1
ジャグラスアームβ,2,otomosaihai,1,,,1,0,0,-2,2,-1,-1,1
ジャグラスコイルβ,3,hukutu,1,,,1,0,0,-2,2,-1,-1,1
ジャグラスグリーブβ,4,syafami,1,,,1,0,0,-2,2,-1,-1,1
クルルヘルムα,0,hitaisei,1,jakuten,1,0,0,0,0,-3,0,1,0
クルルメイルα,1,sutaminakaihuku,1,mikiri,1,0,0,0,0,-3,0,1,0
クルルアームα,2,unpan,1,mikiri,1,0,0,0,0,-3,0,1,0
クルルコイルα,3,aitemukyouka,2,,,0,0,0,0,-3,0,1,0
クルルグリーブα,4,mikiri,1,aitemukyouka,1,0,0,0,0,-3,0,1,0
クルルヘルムβ,0,hitaisei,1,,,2,0,0,0,-3,0,1,0
クルルメイルβ,1,sutaminakaihuku,1,,,1,0,0,0,-3,0,1,0
クルルアームβ,2,unpan,1,,,0,1,0,0,-3,0,1,0
クルルコイルβ,3,aitemukyouka,1,,,0,1,0,0,-3,0,1,0
クルルグリーブβ,4,mikiri,1,,,1,0,0,0,-3,0,1,0
ツィツィヘルムα,0,senkou,1,kizetutaisei,1,0,0,0,0,0,-3,-2,0
ツィツィメイルα,1,taijutu,1,mizukyouka,2,0,0,0,0,0,-3,-2,0
ツィツィアームα,2,kizetutaisei,2,kouikika,1,0,0,0,0,0,-3,-2,0
ツィツィコイルα,3,kouikika,2,mizukyouka,1,0,0,0,0,0,-3,-2,0
ツィツィグリーヴα,4,suimintaisei,2,,,0,0,0,0,0,-3,-2,0
ツィツィヘルムβ,0,senkou,1,,,1,0,0,0,0,-3,-2,0
ツィツィメイルβ,1,taijutu,1,,,2,0,0,0,0,-3,-2,0
ツィツィアームβ,2,kizetutaisei,2,,,1,0,0,0,0,-3,-2,0
ツィツィコイルβ,3,kouikika,1,,,0,1,0,0,0,-3,-2,0
ツィツィグリーヴβ,4,suimintaisei,1,,,1,0,0,0,0,-3,-2,0
ギルオスヘルムα,0,hue,1,mahitaisei,1,0,0,0,0,-3,2,0,1
ギルオスメイルα,1,mahitaisei,2,,,0,0,0,0,-3,2,0,1
ギルオスアームα,2,otomosaihai,2,,,0,0,0,0,-3,2,0,1
ギルオスコイルα,3,syoukikannkyoutekiou,1,mahikyouka,1,0,0,0,0,-3,2,0,1
ギルオスグリーヴα,4,mahikyouka,2,,,0,0,0,0,-3,2,0,1
ギルオスヘルムβ,0,hue,1,,,1,0,0,0,-3,2,0,1
ギルオスメイルβ,1,mahitaisei,1,,,1,0,0,0,-3,2,0,1
ギルオスアームβ,2,otomosaihai,1,,,1,0,0,0,-3,2,0,1
ギルオスコイルβ,3,syoukikannkyoutekiou,1,,,1,0,0,0,-3,2,0,1
ギルオスグリーヴβ,4,mahikyouka,1,,,1,0,0,0,-3,2,0,1
プケプケヘルムα,0,watahousi,2,,,0,0,0,0,3,-3,0,1
プケプケメイルα,1,aitemukyouka,1,syokuseigaku,1,0,0,0,0,3,-3,0,1
プケプケアームα,2,dokutaisei,2,dokukyouka,1,0,0,0,0,3,-3,0,1
プケプケコイルα,3,dokukyouka,2,,,0,0,0,0,3,-3,0,1
プケプケグリーヴα,4,syokuseigaku,2,watahousi,1,0,0,0,0,3,-3,0,1
プケプケヘルムβ,0,watahousi,1,,,2,0,0,0,3,-3,0,1
プケプケメイルβ,1,aitemukyouka,1,,,1,0,0,0,3,-3,0,1
プケプケアームβ,2,dokutaisei,1,,,2,0,0,0,3,-3,0,1
プケプケコイルβ,3,dokukyouka,1,,,1,0,0,0,3,-3,0,1
プケプケグリーヴβ,4,syokuseigaku,1,,,0,1,0,0,3,-3,0,1
ボロスヘルムα,0,ga-doseinou,2,,,0,0,0,-3,-1,3,-1,0
ボロスメイルα,1,sutaminadassyu,2,,,0,0,0,-3,-1,3,-1,0
ボロスアームα,2,ranna-,1,sutaminadassyu,1,0,0,0,-3,-1,3,-1,0
ボロスコイルα,3,dorotaisei,1,ga-doseinou,1,0,0,0,-3,-1,3,-1,0
ボロスグリーヴα,4,kizetutaisei,2,ranna-,1,0,0,0,-3,-1,3,-1,0
ボロスヘルムβ,0,ga-doseinou,1,,,1,0,0,-3,-1,3,-1,0
ボロスメイルβ,1,sutaminadassyu,1,,,1,0,0,-3,-1,3,-1,0
ボロスアームβ,2,ranna-,1,,,1,0,0,-3,-1,3,-1,0
ボロスコイルβ,3,dorotaisei,1,,,0,1,0,-3,-1,3,-1,0
ボロスグリーヴβ,4,kizetutaisei,1,,,2,0,0,-3,-1,3,-1,0
ジャナフヘルムα,0,hikyouka,2,hitaisei,1,0,0,0,3,-3,-1,-1,0
ジャナフメイルα,1,ranna-,1,tokusyusyageki,1,0,0,0,3,-3,-1,-1,0
ジャナフアームα,2,tokusyusyageki,1,hikyouka,1,0,0,0,3,-3,-1,-1,0
ジャナフコイルα,3,hitaisei,1,houjutu,1,0,0,0,3,-3,-1,-1,0
ジャナフグリーヴα,4,houjutu,2,,,0,0,0,3,-3,-1,-1,0
ジャナフヘルムβ,0,hikyouka,2,,,0,1,0,3,-3,-1,-1,0
ジャナフメイルβ,1,ranna-,1,,,2,0,0,3,-3,-1,-1,0
ジャナフアームβ,2,tokusyusyageki,1,,,1,0,0,3,-3,-1,-1,0
ジャナフコイルβ,3,hitaisei,2,,,0,1,0,3,-3,-1,-1,0
ジャナフグリーヴβ,4,houjutu,1,,,1,0,0,3,-3,-1,-1,0
ジュラヘルムα,0,mizubatekiou,2,,,0,0,0,-1,2,-3,0,0
ジュラメイルα,1,dorotaisei,1,mizukyouka,1,0,0,0,-1,2,-3,0,0
ジュラアームα,2,mizukyouka,2,mizubatekiou,1,0,0,0,-1,2,-3,0,0
ジュラコイルα,3,kooritaisei,2,,,0,0,0,-1,2,-3,0,0
ジュラグリーヴα,4,syuutyuu,2,,,0,0,0,-1,2,-3,0,0
ジュラヘルムβ,0,mizubatekiou,1,,,1,0,0,-1,2,-3,0,0
ジュラメイルβ,1,dorotaisei,1,,,1,0,0,-1,2,-3,0,0
ジュラアームβ,2,mizukyouka,2,,,1,0,0,-1,2,-3,0,0
ジュラコイルβ,3,kooritaisei,1,,,1,0,0,-1,2,-3,0,0
ジュラグリーヴβ,4,syuutyuu,1,,,1,0,0,-1,2,-3,0,0
カガチヘルムα,0,taijutu,2,,,0,0,0,0,-3,3,0,0
カガチメイルα,1,janputetujin,1,kaihikyori,1,0,0,0,0,-3,3,0,0
カガチアームα,2,kaihikyori,2,,,0,0,0,0,-3,3,0,0
カガチコイルα,3,kaminarikyouka,2,kaminaritaisei,1,0,0,0,0,-3,3,0,0
カガチグリーヴα,4,kaminaritaisei,2,taijutu,1,0,0,0,0,-3,3,0,0
カガチヘルムβ,0,taijutu,1,,,0,1,0,0,-3,3,0,0
カガチメイルβ,1,janputetujin,1,,,0,1,0,0,-3,3,0,0
カガチアームβ,2,kaihikyori,1,,,0,1,0,0,-3,3,0,0
カガチコイルβ,3,kaminarikyouka,1,,,2,0,0,0,-3,3,0,0
カガチグリーヴβ,4,kaminaritaisei,1,,,2,0,0,0,-3,3,0,0
ウルムーヘルムα,0,sutaminakaihuku,2,,,0,0,0,-3,2,0,1,0
ウルムーメイルα,1,norimeijin,1,houjutu,1,0,0,0,-3,2,0,1,0
ウルムーアームα,2,houjutu,2,,,0,0,0,-3,2,0,1,0
ウルムーコイルα,3,seirei,2,,,0,0,0,-3,2,0,1,0
ウルムーグリーヴα,4,huuatu,1,sutaminakaihuku,1,0,0,0,-3,2,0,1,0
ウルムーヘルムβ,0,sutaminakaihuku,1,,,0,0,0,-3,2,0,1,0
ウルムーメイルβ,1,norimeijin,1,,,1,0,0,-3,2,0,1,0
ウルムーアームβ,2,houjutu,1,,,1,0,0,-3,2,0,1,0
ウルムーコイルβ,3,seirei,1,,,1,0,0,-3,2,0,1,0
ウルムーグリーヴβ,4,huuatu,1,,,2,0,0,-3,2,0,1,0
レイアヘルムα,0,tairyokuzoukyou,2,dokukyouka,1,0,0,0,2,0,-2,0,-3
レイアメイルα,1,syokuseigaku,2,tairyokukaihuku,1,0,0,0,2,0,-2,0,-3
レイアアームα,2,dokukyouka,2,,,0,0,0,2,0,-2,0,-3
レイアコイルα,3,dokutaisei,2,tairyokuzoukyou,1,0,0,0,2,0,-2,0,-3
レイアグリーヴα,4,tairyokukaihuku,2,,,0,0,0,2,0,-2,0,-3
レイアヘルムβ,0,tairyokuzoukyou,1,dokukyouka,1,1,0,0,2,0,-2,0,-3
レイアメイルβ,1,syokuseigaku,1,tairyokukaihuku,1,1,0,0,2,0,-2,0,-3
レイアアームβ,2,dokukyouka,1,,,1,0,0,2,0,-2,0,-3
レイアコイルβ,3,dokutaisei,1,tairyokuzoukyou,1,1,0,0,2,0,-2,0,-3
レイアグリーヴβ,4,tairyokukaihuku,1,,,1,0,0,2,0,-2,0,-3
ガストホーンα,0,hirumikeigen,1,bakuhataisei,1,0,0,0,3,0,0,0,0
ガストホーンβ,0,hirumikeigen,1,,,1,0,0,3,0,0,0,0
バルノスマントα,0,netudame-jimukou,1,bougyodown,1,0,0,0,1,1,0,1,-2
バルノスマントβ,0,netudame-jimukou,1,,,1,0,0,1,1,0,1,-2
ガマルヘルムα,0,bakuhataisei,2,,,0,0,0,2,0,-3,0,2
ガマルメイルα,1,bakuhakyouka,2,,,0,0,0,2,0,-3,0,2
ガマルアームα,2,boma-,2,,,0,0,0,2,0,-3,0,2
ガマルコイルα,3,houjutu,2,bakuhataisei,1,0,0,0,2,0,-3,0,2
ガマルヴリーヴα,4,houdansoutensuu,1,bakuhakyouka,1,0,0,0,2,0,-3,0,2
ガマルヘルムβ,0,bakuhataisei,1,,,1,0,0,2,0,-3,0,2
ガマルメイルβ,1,bakuhakyouka,1,,,1,0,0,2,0,-3,0,2
ガマルアームβ,2,boma-,1,,,1,0,0,2,0,-3,0,2
ガマルコイルβ,3,houjutu,2,,,1,0,0,2,0,-3,0,2
ガマルヴリーヴβ,4,houdansoutensuu,1,,,1,0,0,2,0,-3,0,2
ガストホーンα,0,hirumikeigen,1,bakuhataisei,1,,,,3,0,0,0,0
ガストホーンβ,0,hirumikeigen,1,,,1,,,3,0,0,0,0
バルノスマントα,0,netudame-jimukou,1,bougyodown,1,,,,1,1,0,1,-2
バルノスマントβ,0,netudame-jimukou,1,,,1,,,1,1,0,1,-2
ガマルヘルムα,0,bakuhataisei,2,,,,,,2,0,-3,0,2
ガマルメイルα,1,bakuhakyouka,2,,,,,,2,0,-3,0,2
ガマルアームα,2,boma-,2,,,,,,2,0,-3,0,2
ガマルコイルα,3,houjutu,2,bakuhataisei,1,,,,2,0,-3,0,2
ガマルヴリーヴα,4,houdansoutensuu,1,bakuhakyouka,1,,,,2,0,-3,0,2
ガマルヘルムβ,0,bakuhataisei,1,,,1,,,2,0,-3,0,2
ガマルメイルβ,1,bakuhakyouka,1,,,1,,,2,0,-3,0,2
ガマルアームβ,2,boma-,1,,,1,,,2,0,-3,0,2
ガマルコイルβ,3,houjutu,2,,,1,,,2,0,-3,0,2
ガマルヴリーヴβ,4,houdansoutensuu,1,,,1,,,2,0,-3,0,2
リオハートヘルムα,0,kaihikyori,1,dokukyouka,1,0,0,0,3,0,-3,0,-4
リオハートメイルα,1,seibi,2,,,0,0,0,3,0,-3,0,-4
リオハートアームα,2,huuatu,2,,,0,0,0,3,0,-3,0,-4
リオハートコイルα,3,takumi,1,dokutaisei,1,0,0,0,3,0,-3,0,-4
リオハートグリーヴα,4,seibi,1,huuatu,1,0,0,0,3,0,-3,0,-4
リオハートヘルムβ,0,kaihikyori,1,,,0,1,0,3,0,-3,0,-4
リオハートメイルβ,1,seibi,1,,,2,0,0,3,0,-3,0,-4
リオハートアームβ,2,huuatu,1,,,0,1,0,3,0,-3,0,-4
リオハートコイルβ,3,takumi,1,,,1,0,0,3,0,-3,0,-4
リオハートグリーヴβ,4,seibi,1,,,0,1,0,3,0,-3,0,-4
バルキンヘルムα,0,taisin,2,,,0,0,0,0,2,0,-1,-2
バルキンメイルα,1,suiminkyouka,1,ressyoutaisei,1,0,0,0,0,2,0,-1,-2
バルキンアームα,2,suiminkyouka,2,ga-doseinou,1,0,0,0,0,2,0,-1,-2
バルキンコイルα,3,ga-doseinou,2,,,0,0,0,0,2,0,-1,-2
バルキングリーヴα,4,ressyoutaisei,2,,,0,0,0,0,2,0,-1,-2
バルキンヘルムβ,0,taisin,1,,,0,1,0,0,2,0,-1,-2
バルキンメイルβ,1,suiminkyouka,1,,,1,0,0,0,2,0,-1,-2
バルキンアームβ,2,suiminkyouka,1,ga-doseinou,1,1,0,0,0,2,0,-1,-2
バルキンコイルβ,3,ga-doseinou,1,,,0,1,0,0,2,0,-1,-2
バルキングリーヴβ,4,ressyoutaisei,1,,,1,0,0,0,2,0,-1,-2
ゾラマグナヘッドα,0,takumi,1,bakuhakyouka,1,0,0,0,4,-3,-1,-2,-3
ゾラマグナハイドα,1,bakuhakyouka,2,huuatu,1,0,0,0,4,-3,-1,-2,-3
ゾラマグナクロウα,2,zokuseikaihou,1,boma-,1,0,0,0,4,-3,-1,-2,-3
ゾラマグナスパインα,3,hukutu,1,taisin,1,0,0,0,4,-3,-1,-2,-3
ゾラマグナフットα,4,boma-,2,mimisen,1,0,0,0,4,-3,-1,-2,-3
ゾラマグナヘッドβ,0,takumi,1,,,1,0,0,4,-3,-1,-2,-3
ゾラマグナハイドβ,1,bakuhakyouka,2,,,0,1,0,4,-3,-1,-2,-3
ゾラマグナクロウβ,2,zokuseikaihou,1,,,1,0,0,4,-3,-1,-2,-3
ゾラマグナスパインβ,3,hukutu,1,,,0,1,0,4,-3,-1,-2,-3
ゾラマグナフットβ,4,boma-,2,,,0,1,0,4,-3,-1,-2,-3
ハイメタヘルムα,0,kooritaisei,2,mimisen,1,0,0,0,0,-1,-2,3,0
ハイメタメイルα,1,mimisen,2,koorikyouka,1,0,0,0,0,-1,-2,3,0
ハイメタアームα,2,bougyo,2,koorikyouka,1,0,0,0,0,-1,-2,3,0
ハイメタコイルα,3,hougekisyu,1,kooritaisei,1,0,0,0,0,-1,-2,3,0
ハイメタグリーヴα,4,houdansoutensuu,1,bougyo,1,0,0,0,0,-1,-2,3,0
ハイメタヘルムβ,0,kooritaisei,2,,,0,1,0,0,-1,-2,3,0
ハイメタメイルβ,1,mimisen,1,koorikyouka,1,0,1,0,0,-1,-2,3,0
ハイメタアームβ,2,bougyo,2,,,1,0,0,0,-1,-2,3,0
ハイメタコイルβ,3,houdansoutensuu,1,,,1,0,0,0,-1,-2,3,0
ハイメタグリーヴβ,4,hougekisyu,1,,,1,0,0,0,-1,-2,3,0
インゴットヘルムα,0,kaminarikyouka,2,,,0,0,0,-2,0,3,-1,0
インゴットメイルα,1,kaminaritaisei,2,,,0,0,0,-2,0,3,-1,0
インゴットアームα,2,tairyokuzoukyou,2,kaminarikyouka,1,0,0,0,-2,0,3,-1,0
インゴットコイルα,3,huuatu,2,,,0,0,0,-2,0,3,-1,0
インゴットグリーヴα,4,bougyo,2,huuatu,1,0,0,0,-2,0,3,-1,0
インゴットヘルムβ,0,kaminarikyouka,1,,,1,0,0,-2,0,3,-1,0
インゴットメイルβ,1,kaminaritaisei,1,,,1,0,0,-2,0,3,-1,0
インゴットアームβ,2,tairyokuzoukyou,2,,,1,0,0,-2,0,3,-1,0
インゴットコイルβ,3,huuatu,1,,,0,0,1,-2,0,3,-1,0
インゴットグリーヴβ,4,bougyo,2,,,0,0,1,-2,0,3,-1,0
ブリゲイドロポスα,0,kaihukusokudo,2,hue,1,0,0,0,1,0,2,0,2
ブリゲイドスーツα,1,seirei,2,,,0,1,0,1,0,2,0,2
ブリゲイドアームα,2,hougekisyu,2,seirei,1,0,0,0,1,0,2,0,2
ブリゲイドコイルα,3,tisitugaku,2,kaihukusokudo,1,0,0,0,1,0,2,0,2
ブリゲイドブーツα,4,kenkyusya,1,tisitugaku,1,1,0,0,1,0,2,0,2
ブリゲイドロポスβ,0,kaihukusokudo,2,,,1,0,0,1,0,2,0,2
ブリゲイドスーツβ,1,seirei,1,,,0,2,0,1,0,2,0,2
ブリゲイドアームβ,2,hougekisyu,2,,,1,0,0,1,0,2,0,2
ブリゲイドコイルβ,3,tisitugaku,2,,,1,0,0,1,0,2,0,2
ブリゲイドブーツβ,4,kenkyusya,1,,,0,0,1,1,0,2,0,2
アイルーフェイクα,0,otomosaihai,3,,,0,0,0,2,2,2,2,2
知略の眼鏡α,0,mikiri,2,,,0,0,0,2,2,2,2,2
ラヴァヘルムα,0,hikyouka,2,noutou,1,0,0,0,3,-3,1,-2,2
ラヴァメイルα,1,hikyouka,2,netudame-jimukou,1,0,0,0,3,-3,1,-2,2
ラヴァアームα,2,kassou,1,kouikika,1,0,1,0,3,-3,1,-2,2
ラヴァコイルα,3,noutou,2,tairyokukaihuku,1,0,0,0,3,-3,1,-2,2
ラヴァグリーヴα,4,sandankyouka,1,hikyouka,1,1,0,0,3,-3,1,-2,2
ラヴァヘルムβ,0,hikyouka,1,noutou,1,2,0,0,3,-3,1,-2,2
ラヴァメイルβ,1,hikyouka,2,,,2,0,0,3,-3,1,-2,2
ラヴァアームβ,2,kassou,1,,,0,0,1,3,-3,1,-2,2
ラヴァコイルβ,3,noutou,2,,,1,0,0,3,-3,1,-2,2
ラヴァグリーヴβ,4,sandankyouka,1,,,0,1,0,3,-3,1,-2,2
ギエナヘルムα,0,seirei,2,koorikyouka,1,0,0,0,-1,2,-3,3,0
ギエナメイルα,1,kaihiseinou,2,seirei,1,0,0,0,-1,2,-3,3,0
ギエナアームα,2,hien,1,kaihiseinou,1,0,0,0,-1,2,-3,3,0
ギエナコイルα,3,koorikyouka,2,huuatu,1,0,0,0,-1,2,-3,3,0
ギエナグリーヴα,4,kooritaisei,2,battouwaza,1,0,0,0,-1,2,-3,3,0
ギエナヘルムβ,0,seirei,2,,,1,0,0,-1,2,-3,3,0
ギエナメイルβ,1,kaihiseinou,2,,,1,0,0,-1,2,-3,3,0
ギエナアームβ,2,hien,1,,,0,0,1,-1,2,-3,3,0
ギエナコイルβ,3,koorikyouka,2,,,0,1,0,-1,2,-3,3,0
ギエナグリーヴβ,4,kooritaisei,2,,,0,0,1,-1,2,-3,3,0
ガロンヘルムα,0,ressyoutaisei,2,mikiri,1,0,0,0,2,2,-2,-3,0
ガロンメイルα,1,toisi,2,ressyoutaisei,1,0,0,0,2,2,-2,-3,0
ガロンアームα,2,taijutu,1,mikiri,1,0,0,0,2,2,-2,-3,0
ガロンコイルα,3,mikiri,2,toisi,1,0,0,0,2,2,-2,-3,0
ガロングリーヴα,4,noutou,1,mikiri,1,0,0,0,2,2,-2,-3,0
ガロンヘルムβ,0,ressyoutaisei,2,,,0,1,0,2,2,-2,-3,0
ガロンメイルβ,1,toisi,2,,,1,0,0,2,2,-2,-3,0
ガロンアームβ,2,taijutu,1,,,1,0,0,2,2,-2,-3,0
